カクテル名,甘辛,飲時,グラス,甘辛A,甘辛B,甘辛C,甘辛D,甘辛E,飲時前,飲時後,飲時全,グラスS,グラスM,グラスm,グラスG
ﾌﾞﾗﾝﾃﾞｰ･ｴｯｸ･ﾉｸﾞ,B,全,S,0,1,0,0,0,0,0,1,1,0,0,0
ﾌﾞﾗﾝﾃﾞｰ･ｸﾗｽﾀ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ﾋﾞﾄｳｨｰﾝ･ｻﾞ･ｼｰﾂ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ｱﾚｷｻﾝﾀﾞｰ,A,後,S,1,0,0,0,0,0,1,0,1,0,0,0
ｱﾌﾀｰ･ﾃﾞｨﾅｰ,B,後,S,0,1,0,0,0,0,1,0,1,0,0,0
ｳｲｷｳｲｷ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ﾃｷｰﾆ,E,全,M,0,0,0,0,1,0,0,1,0,1,0,0
ﾃｷｰﾗﾄﾆｯｸ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
ﾃｷｰﾗｻﾝｾｯﾄ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ﾃｷｰﾗｻﾝﾗｲｽﾞ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ｽﾄﾛｰ･ﾊｯﾄ,C,前,G,0,0,1,0,0,1,0,0,0,0,0,1
ｽﾛｰﾃｷｰﾗ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ﾓｯｷﾝﾊﾞｰﾄﾞ,B,後,S,0,1,0,0,0,0,1,0,1,0,0,0
ﾒｷｼｺｰﾗ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ﾏﾀﾄﾞｰﾙ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ﾏﾙｶﾞﾘｰﾀ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ﾌﾛｰｽﾞﾝ･ﾌﾞﾙｰ･ﾏﾙｶﾞﾘｰﾀ,C,全,m,0,0,1,0,0,0,0,1,0,0,1,0
ﾌﾞﾚｰﾌﾞ･ﾌﾞﾙ,B,後,G,0,1,0,0,0,0,1,0,0,0,0,1
ﾌﾞﾙｰﾏﾙｶﾞﾘｰﾀ,B,全,S,0,1,0,0,0,0,0,1,1,0,0,0
ﾌﾞﾗﾃﾞｨｰ･ﾌﾞﾙ2,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
夕やけ,B,全,S,0,1,0,0,0,0,0,1,1,0,0,0
ｽｶｲﾌﾞﾙｰ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
春雪,B,全,S,0,1,0,0,0,0,0,1,1,0,0,0
白梅,B,全,S,0,1,0,0,0,0,0,1,1,0,0,0
冬桜,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ｽｵｯｶ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
春暁,D,前,M,0,0,0,1,0,1,0,0,0,1,0,0
清流,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ｻﾑﾗｲ･ﾛｯｸ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
ｻｹﾃｨｰﾆ･ｵﾝｻﾞﾛｯｸ,E,全,G,0,0,0,0,1,0,0,1,0,0,0,1
撫子,A,全,S,1,0,0,0,0,0,0,1,1,0,0,0
春の雪,B,全,S,0,1,0,0,0,0,0,1,1,0,0,0
ｸﾞﾘｰﾝ日本,B,全,S,0,1,0,0,0,0,0,1,1,0,0,0
ﾌｧﾝﾀｽﾃｨｯｸ･ﾚﾏﾝ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ﾊﾞｶﾙﾃﾞｨ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ｿﾞﾝﾋﾞ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
XYZ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ｽｶｲ･ﾀﾞｲﾋﾞﾝｸﾞ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ｼｬﾝﾊｲ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ｽｺｰﾋﾟｵﾝ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ﾗﾑﾄﾆｯｸ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
ﾗﾑ･ﾄﾃﾞｨｰ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
ﾏｲｱﾐ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ﾏﾘｱ･ｴﾚﾅ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ﾏｲﾀｲ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ﾛﾝｸﾞ･ｱｲﾗﾝﾄﾞ･ｱｲｽﾄﾞ･ﾃｨｰ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ﾎｯﾄ･ﾊﾞﾀｰﾄﾞ･ﾗﾑ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
ｸﾞﾘｰﾝ･ｱｲｽﾞ,B,全,m,0,1,0,0,0,0,0,1,0,0,1,0
ﾌﾛｰｽﾞﾝ･ｽｳﾄﾛﾍﾞﾘｰ･ﾀﾞｲｷﾘ,C,全,m,0,0,1,0,0,0,0,1,0,0,1,0
ﾌﾛｰｽﾞﾝﾀﾞｲｷﾘ,C,全,m,0,0,1,0,0,0,0,1,0,0,1,0
ﾌﾛｰｽﾞﾝ･ﾊﾞﾅﾅ･ﾀﾞｲｷﾘ,C,全,m,0,0,1,0,0,0,0,1,0,0,1,0
ｴﾙ･ﾌﾟﾚｼﾞﾃﾞﾝﾃ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ﾀﾞｲｷﾘ,D,後,S,0,0,0,1,0,0,1,0,1,0,0,0
ｷｭｰﾊﾞ･ﾘﾊﾞｰ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ﾌﾞﾙｰﾊﾜｲ,B,全,S,0,1,0,0,0,0,0,1,1,0,0,0
ﾊﾞｲｱ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ﾊﾞﾚﾝｼｱ･ｺﾌﾞﾗ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ﾊﾞﾚﾝｼｱ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ｽﾌﾟﾓｰﾆ,C,全,G,0,0,1,0,0,0,0,1,0,0,0,1
ｽﾌﾟﾗｯｼｭ,B,全,G,0,1,0,0,0,0,0,1,0,0,0,1
ﾚｲﾝﾎﾞｰ,A,全,G,1,0,0,0,0,0,0,1,0,0,0,1
ﾐﾝﾄ･ﾌﾗｯﾍﾟ,A,後,G,1,0,0,0,0,0,1,0,0,0,0,1
ﾒﾛﾝﾎﾞｰﾙ,B,全,G,0,1,0,0,0,0,0,1,0,0,0,1
ｶﾙｰｱ･ﾐﾙｸ,B,全,G,0,1,0,0,0,0,0,1,0,0,0,1
